Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,Microsoft.Extensions.Configuration 1.1.2,,,,,"Microsoft.Extensions.Configuration, 1.1.2  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.3"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,Microsoft.NETCore.Platforms 1.1.0,,,,,"Microsoft.NETCore.Platforms, 1.1.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,Microsoft.Win32.Primitives 4.3.0,,,,,"Microsoft.Win32.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,NETStandard.Library 1.6.1,,,,,"NETStandard.Library, 1.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.AppContext 4.3.0,,,,,"System.AppContext, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Collections.Concurrent 4.3.0,,,,,"System.Collections.Concurrent, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Console 4.3.0,,,,,"System.Console, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Diagnostics.Debug 4.3.0,,,,,"System.Diagnostics.Debug, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Diagnostics.Tools 4.3.0,,,,,"System.Diagnostics.Tools, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Diagnostics.Tracing 4.3.0,,,,,"System.Diagnostics.Tracing, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Globalization 4.3.0,,,,,"System.Globalization, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.Globalization.Calendars 4.3.0,,,,,"System.Globalization.Calendars, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.IO.Compression.ZipFile 4.3.0,,,,,"System.IO.Compression.ZipFile, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.IO.FileSystem 4.3.0,,,,,"System.IO.FileSystem, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,HymmnosReader\HymmnosReader.csproj,File,HymmnosReader\HymmnosReader.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
